
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012668                       # Number of seconds simulated (Second)
simTicks                                  12668390500                       # Number of ticks simulated (Tick)
finalTick                                 12668390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     97.87                       # Real time elapsed on the host (Second)
hostTickRate                                129436417                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2811968                       # Number of bytes of host memory used (Byte)
simInsts                                     18405434                       # Number of instructions simulated (Count)
simOps                                       21482674                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219494                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                500                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles             25336782                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded            21567790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded         8197                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued           21541384                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued         6929                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined        93326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined        75633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.857751                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.125266                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::0      14510234     57.78%     57.78% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::1       2967132     11.81%     69.59% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::2       4463532     17.77%     87.37% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::3       3044392     12.12%     99.49% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::4        128503      0.51%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::5             0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::6             0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::7             0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::8             0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::max_value            4                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::total     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::IntAlu      4041410     55.03%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::IntMult           38      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::IntDiv            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatAdd            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatCmp            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatCvt            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatMult            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatMultAcc            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatDiv            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatMisc            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatSqrt            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdAdd            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdAddAcc            0      0.00%     55.03% # attempts to use FU when none available (Count)
